SID,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
dxj78877,dylan.johnson@univ.edu,3,Dylan,Johnson,61,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100,10,5,9,15,6,0.72,0.64,0.99,0.731081081,0.737666667,0.737666667,0.731081081,0.643656735,0.731081081,0.762890991,77,C
pmj37756,paul.johnson@univ.edu,3,Paul,Johnson,73,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100,10,11,14,9,10,0.84,0.8,0.94,0.735135135,0.733325397,0.735135135,0.735135135,0.798176725,0.798176725,0.796507072,80,B
rsj94156,robert.johnston@univ.edu,3,Robert,Johnston,74,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100,5,10,12,13,9,0.98,0.61,0.74,0.759459459,0.755198413,0.759459459,0.759459459,0.702768016,0.759459459,0.752621622,76,C
sxj49423,sarah.jones@univ.edu,3,Sarah,Jones,62,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100,12,14,15,15,9,0.89,0.68,0.94,0.724324324,0.717769841,0.724324324,0.724324324,0.940106952,0.940106952,0.825261815,83,B
dsl24347,danielle.lee@univ.edu,3,Danielle,Lee,69,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100,7,5,14,10,7,0.62,0.7,0.9,0.822972973,0.816865079,0.822972973,0.822972973,0.619681691,0.822972973,0.812081081,82,B
tgl37922,tammy.leon@univ.edu,3,Tammy,Leon,63,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,88,100,90,100,87,100,4,6,14,17,4,0.88,0.9,0.87,0.809459459,0.80225,0.809459459,0.809459459,0.611774892,0.809459459,0.831121622,84,B
kxm62826,kimberly.mccall@univ.edu,3,Kimberly,Mccall,61,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100,4,12,15,10,11,0.79,0.98,0.6,0.837837838,0.831345238,0.837837838,0.837837838,0.755742297,0.837837838,0.813986486,82,B
axm26865,anthony.miller@univ.edu,3,Anthony,Miller,77,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100,12,7,8,13,9,0.73,0.68,0.93,0.8,0.793940476,0.8,0.8,0.723244207,0.8,0.804,81,B
bxm17365,brett.miranda@univ.edu,3,Brett,Miranda,74,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100,8,11,9,15,11,0.82,0.94,0.95,0.787837838,0.798388889,0.798388889,0.787837838,0.786946779,0.787837838,0.833206907,84,B
njp08545,nicole.patterson@univ.edu,3,Nicole,Patterson,66,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100,10,13,14,10,6,0.96,0.91,0.95,0.817567568,0.815257937,0.817567568,0.817567568,0.765785587,0.817567568,0.853797297,86,B
jxp06435,jeffrey.perez@univ.edu,3,Jeffrey,Perez,50,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100,9,12,7,12,4,0.67,0.81,0.95,0.795945946,0.789460317,0.795945946,0.795945946,0.628665648,0.795945946,0.814162162,82,B
mxp86000,melissa.poole@univ.edu,3,Melissa,Poole,62,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,88,100,97,100,83,100,5,12,7,17,9,0.88,0.97,0.83,0.843243243,0.847611111,0.847611111,0.843243243,0.711731602,0.843243243,0.857517417,86,B
rxp56459,ricardo.price@univ.edu,3,Ricardo,Price,77,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,68,100,92,100,75,100,12,14,12,8,10,0.68,0.92,0.75,0.816216216,0.822373016,0.822373016,0.816216216,0.835935829,0.835935829,0.818229955,82,B
txr84689,timothy.ramirez@univ.edu,3,Timothy,Ramirez,72,80,73,80,65,80,73,100,49,70,79,90,49,50,57,70,54,60,51,60,84,100,69,100,87,100,4,6,8,13,4,0.84,0.69,0.87,0.840540541,0.847706349,0.847706349,0.840540541,0.484716068,0.840540541,0.832744702,84,B
tbr17292,troy.raymond@univ.edu,3,Troy,Raymond,50,80,59,80,79,80,98,100,65,70,68,90,44,50,66,70,45,60,49,60,91,100,67,100,100,100,5,7,7,14,7,0.91,0.67,1,0.841891892,0.840365079,0.841891892,0.841891892,0.568645276,0.841891892,0.851824324,86,B
lcr30757,laura.reid@univ.edu,3,Laura,Reid,51,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,64,100,86,100,86,100,12,8,13,10,4,0.64,0.86,0.86,0.702702703,0.70897619,0.70897619,0.702702703,0.677993379,0.702702703,0.741401287,75,C
cxr98775,carol.reyes@univ.edu,3,Carol,Reyes,75,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,99,100,91,100,90,100,6,14,15,8,5,0.99,0.91,0.9,0.818918919,0.822488095,0.822488095,0.818918919,0.685026738,0.818918919,0.850170914,86,B
jxr10806,jason.reyes@univ.edu,3,Jason,Reyes,67,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,70,100,81,100,86,100,4,6,13,13,9,0.7,0.81,0.86,0.8,0.802468254,0.802468254,0.8,0.642291826,0.8,0.805987302,81,B
kpr82051,kimberly.rhodes@univ.edu,3,Kimberly,Rhodes,60,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,61,100,62,100,97,100,6,12,13,16,9,0.61,0.62,0.97,0.763513514,0.755710317,0.763513514,0.763513514,0.796633563,0.796633563,0.782395474,79,C
jsr21334,john.rodriguez@univ.edu,3,John,Rodriguez,78,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,92,100,68,100,89,100,7,11,12,12,6,0.92,0.68,0.89,0.789189189,0.796551587,0.796551587,0.789189189,0.684076903,0.789189189,0.802877392,81,B
sxs30610,stephanie.sampson@univ.edu,3,Stephanie,Sampson,77,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,87,100,100,100,75,100,4,12,10,6,10,0.87,1,0.75,0.832432432,0.833047619,0.833047619,0.832432432,0.623834989,0.832432432,0.838948777,84,B
fxs77894,felicia.simpson@univ.edu,3,Felicia,Simpson,59,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,63,100,90,100,99,100,12,9,7,13,11,0.63,0.9,0.99,0.835135135,0.829880952,0.835135135,0.835135135,0.774845938,0.835135135,0.854594595,86,B
cjs43553,crystal.smith@univ.edu,3,Crystal,Smith,63,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,85,100,88,100,60,100,5,14,14,8,6,0.85,0.88,0.6,0.848648649,0.855166667,0.855166667,0.848648649,0.673208556,0.848648649,0.817161261,82,B
ajt73762,amy.terry@univ.edu,3,Amy,Terry,71,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,60,100,81,100,79,100,7,5,12,9,4,0.6,0.81,0.79,0.833783784,0.81909127,0.833783784,0.833783784,0.526704864,0.833783784,0.813148649,82,B
bxt62105,brandon.thomas@univ.edu,3,Brandon,Thomas,80,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,86,100,72,100,65,100,4,8,10,13,7,0.86,0.72,0.65,0.763513514,0.754150794,0.763513514,0.763513514,0.594499618,0.763513514,0.746959459,75,C
hxw92728,heather.webb@univ.edu,3,Heather,Webb,56,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,100,100,61,100,62,100,4,9,11,16,5,1,0.61,0.62,0.701351351,0.699761905,0.701351351,0.701351351,0.621049147,0.701351351,0.694945946,70,C
alw07647,amy.white@univ.edu,3,Amy,White,71,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,99,100,95,100,99,100,4,11,14,15,7,0.99,0.95,0.99,0.837837838,0.824940476,0.837837838,0.837837838,0.714219506,0.837837838,0.879486486,88,B
lkw48972,levi.wilkerson@univ.edu,3,Levi,Wilkerson,52,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,71,100,96,100,93,100,12,14,13,8,11,0.71,0.96,0.93,0.725675676,0.719289683,0.725675676,0.725675676,0.86745098,0.86745098,0.821505564,83,B
