,NetID,Name,Last_Name,Email,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Grade ,Grade_2,Grade_3,Grade_4,Grade_5
16,bcf26283,flores, brandon chad,brandon.flores@univ.edu,Brandon,Flores,62.0,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100,7,15,11,13,7
17,bch39598,hunt, brett caroline,brett.hunt@univ.edu,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100,4,11,16,7,12
18,bdp78944,powers, brooke david,brooke.powers@univ.edu,Brooke,Powers,80.0,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100,6,10,17,10,8
19,bgm86325,myers, brian gary,brian.myers@univ.edu,Brian,Myers,75.0,80,49,80,53,80,65,100,66,70,69,90,49,50,47,70,44,60,53,60,74,100,60,100,92,100,9,10,15,8,7
20,bjg14618,graham, benjamin james,benjamin.graham@univ.edu,Benjamin,Graham,64.0,80,52,80,58,80,87,100,60,70,89,90,41,50,45,70,50,60,37,60,81,100,73,100,81,100,7,15,6,6,7
21,bkr19538,reilly, brandy kevin,brandy.reilly@univ.edu,Brandy,Reilly,70.0,80,80,80,55,80,84,100,42,70,79,90,44,50,60,70,45,60,52,60,69,100,67,100,95,100,5,13,6,14,10
22,bmb94857,bailey, belinda michael,belinda.bailey@univ.edu,Belinda,Bailey,60.0,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100,6,10,9,14,4
23,bms82804,sanders, beth melissa,beth.sanders@univ.edu,Beth,Sanders,59.0,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100,4,12,9,10,9
24,bxb28023,bryan, bradley,bradley.bryan@univ.edu,Bradley,Bryan,55.0,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100,10,12,8,10,8
25,bxm17365,miranda, brett,brett.miranda@univ.edu,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100,11,9,15,11,8
26,bxr62103,reyes, bailey,bailey.reyes@univ.edu,Bailey,Reyes,53.0,80,50,80,55,80,97,100,57,70,75,90,39,50,64,70,41,60,46,60,90,100,72,100,71,100,10,15,17,6,7
27,bxs54690,schwartz, billy,billy.schwartz@univ.edu,Billy,Schwartz,56.0,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100,11,12,11,10,9
28,bxt62105,thomas, brandon,brandon.thomas@univ.edu,Brandon,Thomas,80.0,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,86,100,72,100,65,100,7,10,13,8,4
29,chh70562,holt, crystal heather,crystal.holt@univ.edu,Crystal,Holt,68.0,80,51,80,64,80,91,100,52,70,67,90,37,50,43,70,45,60,39,60,63,100,97,100,73,100,9,9,14,14,9
30,cjs43553,smith, crystal jason,crystal.smith@univ.edu,Crystal,Smith,63.0,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,85,100,88,100,60,100,6,14,8,14,5
31,cxa22039,allen, christina,christina.allen@univ.edu,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100,10,12,14,14,8
32,cxc08121,campbell, charles,charles.campbell@univ.edu,Charles,Campbell,60.0,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100,5,15,14,14,8
33,cxd92501,dennis, cameron,cameron.dennis@univ.edu,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100,4,6,13,5,4
34,cxg21963,guzman, cynthia,cynthia.guzman@univ.edu,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100,6,15,14,10,7
35,cxh80084,hart, colleen,colleen.hart@univ.edu,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100,6,6,17,9,7
36,cxn83965,nguyen, cindy,cindy.nguyen@univ.edu,Cindy,Nguyen,51.0,80,59,80,58,80,63,100,52,70,58,90,50,50,66,70,46,60,41,60,82,100,68,100,82,100,7,10,6,10,10
37,cxr98775,reyes, carol,carol.reyes@univ.edu,Carol,Reyes,75.0,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,99,100,91,100,90,100,5,15,8,14,6
38,cxw68726,watkins, carol,carol.watkins@univ.edu,Carol,Watkins,64.0,80,76,80,69,80,88,100,60,70,66,90,36,50,51,70,55,60,57,60,62,100,92,100,98,100,6,6,11,5,5
39,cxw91147,wolf, courtney,courtney.wolf@univ.edu,Courtney,Wolf,80.0,80,79,80,66,80,63,100,56,70,71,90,48,50,43,70,52,60,43,60,88,100,86,100,62,100,10,15,9,7,9
40,dcj14616,jones, daniel carolyn,daniel.jones@univ.edu,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100,8,8,11,7,10
41,djb29817,beck, david john,david.beck@univ.edu,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100,4,7,7,12,7
42,djd31335,delgado, desiree jennifer,desiree.delgado@univ.edu,Desiree,Delgado,69.0,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100,4,7,9,8,4
43,dma58910,anderson, daisy michael,daisy.anderson@univ.edu,Daisy,Anderson,64.0,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100,9,6,10,6,7
44,dsg54218,garcia, desiree stephanie,desiree.garcia@univ.edu,Desiree,Garcia,68.0,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100,8,10,6,10,6
45,dsl24347,lee, danielle stephanie,danielle.lee@univ.edu,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100,7,14,10,5,7
46,dxj78877,johnson, dylan,dylan.johnson@univ.edu,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100,6,9,15,5,10
47,dxn21936,nguyen, donna,donna.nguyen@univ.edu,Donna,Nguyen,52.0,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100,7,12,14,9,4
48,dxp49123,payne, douglas,douglas.payne@univ.edu,Douglas,Payne,48.0,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100,8,7,7,12,5
49,edh14938,houston, emily donna,emily.houston@univ.edu,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100,8,9,17,5,11
50,eed42850,dudley, emily emily,emily.dudley@univ.edu,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100,5,9,8,9,9
51,exd72538,duffy, erin,erin.duffy@univ.edu,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100,9,12,14,5,10
52,fxs77894,simpson, felicia,felicia.simpson@univ.edu,Felicia,Simpson,59.0,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,63,100,90,100,99,100,11,7,13,9,12
53,hsw06874,watson, holly samuel,holly.watson@univ.edu,Holly,Watson,66.0,80,51,80,66,80,79,100,53,70,55,90,35,50,61,70,49,60,49,60,81,100,100,100,90,100,11,12,10,6,5
54,hxg56446,glover, heidi,heidi.glover@univ.edu,Heidi,Glover,65.0,80,52,80,60,80,65,100,45,70,81,90,47,50,43,70,51,60,48,60,60,100,83,100,83,100,4,14,10,7,9
55,hxw92728,webb, heather,heather.webb@univ.edu,Heather,Webb,56.0,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,100,100,61,100,62,100,5,11,16,9,4
56,jag55224,garza, jessica allison,jessica.garza@univ.edu,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100,8,8,16,11,10
57,jgc21028,clark, jill gregg,jill.clark@univ.edu,Jill,Clark,70.0,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100,9,6,14,11,4
58,jgf12345,flower, john gregg,john.g.2.flower@univ.edu,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100,8,8,8,13,5
59,jlh15029,harris, john lisa,john.harris@univ.edu,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100,9,14,12,6,12
60,jmp63760,pena, jonathan michael,jonathan.pena@univ.edu,Jonathan,Pena,53.0,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100,9,8,13,10,5
61,jsr21334,rodriguez, john sandra,john.rodriguez@univ.edu,John,Rodriguez,78.0,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,92,100,68,100,89,100,6,12,12,11,7
62,jty40106,young, joseph teresa,joseph.young@univ.edu,Joseph,Young,51.0,80,69,80,60,80,68,100,67,70,63,90,49,50,42,70,55,60,49,60,72,100,68,100,96,100,8,14,12,11,10
63,jxb40799,bauer, john,john.bauer@univ.edu,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100,4,7,13,9,8
64,jxj82678,johnson, jamie,jamie.johnson@univ.edu,Jamie,Johnson,74.0,80,78,80,76,80,100,100,66,70,85,90,40,50,67,70,36,60,50,60,63,100,71,100,90,100,5,14,16,9,6
65,jxm83777,miller, jorge,jorge.miller@univ.edu,Jorge,Miller,69.0,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100,10,10,6,14,11
66,jxo31236,odom, john,john.odom@univ.edu,John,Odom,59.0,80,59,80,60,80,61,100,44,70,62,90,34,50,66,70,52,60,55,60,85,100,100,100,80,100,11,15,8,9,6
67,jxp06435,perez, jeffrey,jeffrey.perez@univ.edu,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100,4,7,12,12,9
68,jxr10806,reyes, jason,jason.reyes@univ.edu,Jason,Reyes,67.0,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,70,100,81,100,86,100,9,13,13,6,4
69,jxu45537,underwood, james,james.underwood@univ.edu,James,Underwood,65.0,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100,5,13,8,9,9
70,jxw53347,walls, joyce,joyce.walls@univ.edu,Joyce,Walls,59.0,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100,10,6,9,7,12
71,jxw87000,woodard, john,john.woodard@univ.edu,John,Woodard,51.0,80,68,80,56,80,71,100,69,70,60,90,33,50,56,70,41,60,60,60,68,100,93,100,62,100,11,14,11,13,8
72,jxw98212,walsh, jill,jill.walsh@univ.edu,Jill,Walsh,65.0,80,48,80,49,80,73,100,47,70,74,90,38,50,68,70,50,60,38,60,73,100,99,100,78,100,6,13,6,9,4
73,kam90876,moore, kimberly andrea,kimberly.moore@univ.edu,Kimberly,Moore,79.0,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100,6,14,17,8,4
74,kpr82051,rhodes, kimberly peter,kimberly.rhodes@univ.edu,Kimberly,Rhodes,60.0,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,61,100,62,100,97,100,9,13,16,12,6
75,ksb85997,brown, kelsey steven,kelsey.brown@univ.edu,Kelsey,Brown,78.0,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100,10,15,9,14,4
76,ksp17362,petersen, kristin sarah,kristin.petersen@univ.edu,Kristin,Petersen,49.0,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100,8,8,7,5,5
77,kxf45205,faulkner, katelyn,katelyn.faulkner@univ.edu,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100,6,12,17,14,6
78,kxm62826,mccall, kimberly,kimberly.mccall@univ.edu,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100,11,15,10,12,4
79,kxs29884,smith, kerry,kerry.smith@univ.edu,Kerry,Smith,53.0,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100,4,13,16,5,5
80,kxw26270,williams, kimberly,kimberly.williams@univ.edu,Kimberly,Williams,72.0,80,80,80,63,80,87,100,57,70,71,90,30,50,43,70,42,60,49,60,82,100,95,100,85,100,6,6,11,11,9
81,lba53221,anderson, lauren billy,lauren.anderson@univ.edu,Lauren,Anderson,55.0,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100,8,6,11,11,6
82,lcr30757,reid, laura clarence,laura.reid@univ.edu,Laura,Reid,51.0,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,64,100,86,100,86,100,4,13,10,8,12
83,lkw48972,wilkerson, levi kayla,levi.wilkerson@univ.edu,Levi,Wilkerson,52.0,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,71,100,96,100,93,100,11,13,8,14,12
84,llf55044,friedman, linda lance,linda.friedman@univ.edu,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100,10,9,8,5,8
85,lmb95641,brock, lauren mark,lauren.brock@univ.edu,Lauren,Brock,74.0,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100,7,14,11,12,7
86,lxb98047,baldwin, lucas,lucas.baldwin@univ.edu,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100,7,10,9,12,11
87,lxc64780,carter, lorraine,lorraine.carter@univ.edu,Lorraine,Carter,50.0,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100,5,13,14,12,10
88,lxd16906,davidson, luke,luke.davidson@univ.edu,Luke,Davidson,49.0,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100,7,14,14,8,5
89,lxg35058,gordon, lori,lori.gordon@univ.edu,Lori,Gordon,52.0,80,74,80,75,80,79,100,67,70,72,90,50,50,51,70,40,60,38,60,88,100,96,100,76,100,9,15,12,7,7
90,lxs77616,sparks, leslie,leslie.sparks@univ.edu,Leslie,Sparks,66.0,80,77,80,54,80,66,100,48,70,56,90,38,50,63,70,43,60,50,60,61,100,95,100,90,100,7,9,16,8,8
91,mat59156,taylor, michael ashley,michael.taylor@univ.edu,Michael,Taylor,58.0,80,60,80,50,80,72,100,46,70,68,90,37,50,49,70,47,60,36,60,91,100,68,100,66,100,5,15,13,12,5
92,mjg41514,gonzalez, matthew justin,matthew.gonzalez@univ.edu,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100,7,6,16,11,12
93,mjj83180,james, margaret juan,margaret.james@univ.edu,Margaret,James,67.0,80,63,80,48,80,81,100,62,70,89,90,36,50,57,70,48,60,51,60,85,100,90,100,97,100,8,11,9,7,11
94,mjp68159,patrick, mark jennifer,mark.patrick@univ.edu,Mark,Patrick,70.0,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100,10,11,10,8,4
95,msl77920,lopez, mark steven,mark.lopez@univ.edu,Mark,Lopez,58.0,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100,4,15,15,7,9
96,mxb67936,benton, michael,michael.benton@univ.edu,Michael,Benton,54.0,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100,7,6,17,10,4
97,mxj54725,jones, michele,michele.jones@univ.edu,Michele,Jones,67.0,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100,7,6,12,6,6
98,mxl12345,lambert, malaika,malaika.lambert@univ.edu,Malaika,Lambert,63.0,80,57,80,78,80,83,100,61,70,88,90,42,50,58,70,45,60,37,60,60,100,91,100,93,100,8,10,10,13,6
99,mxl67812,lee, michelle,michelle.lee@univ.edu,Michelle,Lee,56.0,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100,9,13,16,10,10
100,mxp86000,poole, melissa,melissa.poole@univ.edu,Melissa,Poole,62.0,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,88,100,97,100,83,100,9,7,17,12,5
101,mxs29840,stevens, marcia,marcia.stevens@univ.edu,Marcia,Stevens,51.0,80,72,80,60,80,84,100,68,70,73,90,50,50,65,70,59,60,59,60,63,100,99,100,83,100,7,15,17,10,12
102,mxs33225,scott, michelle,michelle.scott@univ.edu,Michelle,Scott,52.0,80,55,80,72,80,66,100,44,70,79,90,35,50,52,70,50,60,42,60,87,100,77,100,92,100,7,15,12,14,7
103,mxs33416,smith, matthew,matthew.smith@univ.edu,Matthew,Smith,75.0,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100,8,14,7,7,8
104,njp08545,patterson, nicole jennifer,nicole.patterson@univ.edu,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100,6,14,10,13,10
105,nsb43944,bates, nathan stephanie,nathan.bates@univ.edu,Nathan,Bates,68.0,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100,6,12,6,11,10
106,nxe44872,edwards, nicole,nicole.edwards@univ.edu,Nicole,Edwards,62.0,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100,10,12,9,12,10
107,nxm87406,mann, nicole,nicole.mann@univ.edu,Nicole,Mann,73.0,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100,11,8,12,11,9
108,oxr30270,rush, oscar,oscar.rush@univ.edu,Oscar,Rush,50.0,80,56,80,65,80,80,100,42,70,68,90,34,50,67,70,57,60,40,60,74,100,80,100,66,100,5,14,7,5,5
109,pmj37756,johnson, paul mark,paul.johnson@univ.edu,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100,10,14,9,11,10
110,pmk49230,king, paige mary,paige.king@univ.edu,Paige,King,61.0,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100,8,13,17,14,9
111,pxe53402,evans, patricia,patricia.evans@univ.edu,Patricia,Evans,57.0,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100,9,9,8,12,4
112,rcf61653,flores, russell chad,russell.flores@univ.edu,Russell,Flores,48.0,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100,7,8,13,9,12
113,rge65208,elliott, richard gwendolyn,richard.elliott@univ.edu,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100,6,13,17,11,12
114,rjb91830,bennett, richard jamie,richard.bennett@univ.edu,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100,10,6,9,8,10
115,rkr43763,rice, rhonda kyle,rhonda.rice@univ.edu,Rhonda,Rice,77.0,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100,8,9,14,6,9
116,rsj94156,johnston, robert stephanie,robert.johnston@univ.edu,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100,9,12,13,10,5
117,rxd29805,douglas, robert,robert.douglas@univ.edu,Robert,Douglas,57.0,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100,8,9,13,10,8
118,rxd55884,dennis, rachel,rachel.dennis@univ.edu,Rachel,Dennis,73.0,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100,7,6,7,6,11
119,rxp56459,price, ricardo,ricardo.price@univ.edu,Ricardo,Price,77.0,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,68,100,92,100,75,100,10,12,8,14,12
120,rxs30280,saunders, richard,richard.saunders@univ.edu,Richard,Saunders,53.0,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100,10,8,15,12,12
121,sbr74322,rogers, sherry benjamin,sherry.rogers@univ.edu,Sherry,Rogers,58.0,80,60,80,49,80,68,100,50,70,75,90,33,50,44,70,55,60,56,60,63,100,92,100,80,100,4,12,17,9,11
122,sem28474,miller, stephen elizabeth,stephen.miller@univ.edu,Stephen,Miller,50.0,80,48,80,63,80,77,100,57,70,81,90,49,50,69,70,55,60,41,60,72,100,70,100,97,100,8,10,7,13,4
123,sgm04582,marshall, shawn grace,shawn.marshall@univ.edu,Shawn,Marshall,70.0,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100,8,9,15,11,6
124,skr62062,roberts, steven katherine,steven.roberts@univ.edu,Steven,Roberts,56.0,80,75,80,76,80,92,100,59,70,74,90,38,50,60,70,59,60,49,60,70,100,80,100,67,100,8,14,8,9,8
125,smg03171,good, sherry mark,sherry.good@univ.edu,Sherry,Good,50.0,80,48,80,77,80,94,100,54,70,77,90,44,50,62,70,48,60,47,60,89,100,88,100,64,100,6,12,7,7,9
126,smj00936,johnson, stacy michael,stacy.johnson@univ.edu,Stacy,Johnson,74.0,80,55,80,60,80,67,100,46,70,85,90,43,50,42,70,59,60,48,60,96,100,80,100,86,100,6,14,11,7,7
127,sxc85021,cervantes, scott,scott.cervantes@univ.edu,Scott,Cervantes,51.0,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100,4,8,9,12,9
128,sxj49423,jones, sarah,sarah.jones@univ.edu,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100,9,15,15,14,12
129,sxs30610,sampson, stephanie,stephanie.sampson@univ.edu,Stephanie,Sampson,77.0,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,87,100,100,100,75,100,10,10,6,12,4
