,Last Name,First Name,Email,Grade ,Grade_2,Grade_3,Grade_4,Grade_5
37,holt,crystal,crystal.holt@univ.edu,9,9,14,14,9
38,smith,crystal,crystal.smith@univ.edu,6,14,8,14,5
39,guzman,cynthia,cynthia.guzman@univ.edu,6,15,14,10,7
40,anderson,daisy,daisy.anderson@univ.edu,9,6,10,6,7
41,jones,daniel,daniel.jones@univ.edu,8,8,11,7,10
42,lee,danielle,danielle.lee@univ.edu,7,14,10,5,7
43,beck,david,david.beck@univ.edu,4,7,7,12,7
44,garcia,desiree,desiree.garcia@univ.edu,8,10,6,10,6
45,delgado,desiree,desiree.delgado@univ.edu,4,7,9,8,4
46,nguyen,donna,donna.nguyen@univ.edu,7,12,14,9,4
47,payne,douglas,douglas.payne@univ.edu,8,7,7,12,5
48,johnson,dylan,dylan.johnson@univ.edu,6,9,15,5,10
49,houston,emily,emily.houston@univ.edu,8,9,17,5,11
50,dudley,emily,emily.dudley@univ.edu,5,9,8,9,9
51,duffy,erin,erin.duffy@univ.edu,9,12,14,5,10
52,simpson,felicia,felicia.simpson@univ.edu,11,7,13,9,12
53,webb,heather,heather.webb@univ.edu,5,11,16,9,4
54,glover,heidi,heidi.glover@univ.edu,4,14,10,7,9
55,watson,holly,holly.watson@univ.edu,11,12,10,6,5
56,underwood,james,james.underwood@univ.edu,5,13,8,9,9
57,johnson,jamie,jamie.johnson@univ.edu,5,14,16,9,6
58,reyes,jason,jason.reyes@univ.edu,9,13,13,6,4
59,perez,jeffrey,jeffrey.perez@univ.edu,4,7,12,12,9
60,garza,jessica,jessica.garza@univ.edu,8,8,16,11,10
61,clark,jill,jill.clark@univ.edu,9,6,14,11,4
62,walsh,jill,jill.walsh@univ.edu,6,13,6,9,4
63,flower,john,john.g.2.flower@univ.edu,8,8,8,13,5
64,rodriguez,john,john.rodriguez@univ.edu,6,12,12,11,7
65,odom,john,john.odom@univ.edu,11,15,8,9,6
66,woodard,john,john.woodard@univ.edu,11,14,11,13,8
67,bauer,john,john.bauer@univ.edu,4,7,13,9,8
68,harris,john,john.harris@univ.edu,9,14,12,6,12
69,pena,jonathan,jonathan.pena@univ.edu,9,8,13,10,5
70,miller,jorge,jorge.miller@univ.edu,10,10,6,14,11
71,young,joseph,joseph.young@univ.edu,8,14,12,11,10
72,walls,joyce,joyce.walls@univ.edu,10,6,9,7,12
73,faulkner,katelyn,katelyn.faulkner@univ.edu,6,12,17,14,6
74,brown,kelsey,kelsey.brown@univ.edu,10,15,9,14,4
75,smith,kerry,kerry.smith@univ.edu,4,13,16,5,5
76,mccall,kimberly,kimberly.mccall@univ.edu,11,15,10,12,4
77,williams,kimberly,kimberly.williams@univ.edu,6,6,11,11,9
78,moore,kimberly,kimberly.moore@univ.edu,6,14,17,8,4
79,rhodes,kimberly,kimberly.rhodes@univ.edu,9,13,16,12,6
80,petersen,kristin,kristin.petersen@univ.edu,8,8,7,5,5
81,reid,laura,laura.reid@univ.edu,4,13,10,8,12
82,anderson,lauren,lauren.anderson@univ.edu,8,6,11,11,6
83,brock,lauren,lauren.brock@univ.edu,7,14,11,12,7
84,sparks,leslie,leslie.sparks@univ.edu,7,9,16,8,8
85,wilkerson,levi,levi.wilkerson@univ.edu,11,13,8,14,12
86,friedman,linda,linda.friedman@univ.edu,10,9,8,5,8
87,gordon,lori,lori.gordon@univ.edu,9,15,12,7,7
88,carter,lorraine,lorraine.carter@univ.edu,5,13,14,12,10
89,baldwin,lucas,lucas.baldwin@univ.edu,7,10,9,12,11
90,davidson,luke,luke.davidson@univ.edu,7,14,14,8,5
91,lambert,malaika,malaika.lambert@univ.edu,8,10,10,13,6
92,stevens,marcia,marcia.stevens@univ.edu,7,15,17,10,12
93,james,margaret,margaret.james@univ.edu,8,11,9,7,11
94,lopez,mark,mark.lopez@univ.edu,4,15,15,7,9
95,patrick,mark,mark.patrick@univ.edu,10,11,10,8,4
96,gonzalez,matthew,matthew.gonzalez@univ.edu,7,6,16,11,12
97,smith,matthew,matthew.smith@univ.edu,8,14,7,7,8
98,poole,melissa,melissa.poole@univ.edu,9,7,17,12,5
99,taylor,michael,michael.taylor@univ.edu,5,15,13,12,5
100,benton,michael,michael.benton@univ.edu,7,6,17,10,4
101,jones,michele,michele.jones@univ.edu,7,6,12,6,6
102,scott,michelle,michelle.scott@univ.edu,7,15,12,14,7
103,lee,michelle,michelle.lee@univ.edu,9,13,16,10,10
104,bates,nathan,nathan.bates@univ.edu,6,12,6,11,10
105,edwards,nicole,nicole.edwards@univ.edu,10,12,9,12,10
106,patterson,nicole,nicole.patterson@univ.edu,6,14,10,13,10
107,mann,nicole,nicole.mann@univ.edu,11,8,12,11,9
108,rush,oscar,oscar.rush@univ.edu,5,14,7,5,5
109,king,paige,paige.king@univ.edu,8,13,17,14,9
110,evans,patricia,patricia.evans@univ.edu,9,9,8,12,4
111,johnson,paul,paul.johnson@univ.edu,10,14,9,11,10
112,dennis,rachel,rachel.dennis@univ.edu,7,6,7,6,11
113,rice,rhonda,rhonda.rice@univ.edu,8,9,14,6,9
114,price,ricardo,ricardo.price@univ.edu,10,12,8,14,12
115,elliott,richard,richard.elliott@univ.edu,6,13,17,11,12
116,bennett,richard,richard.bennett@univ.edu,10,6,9,8,10
117,saunders,richard,richard.saunders@univ.edu,10,8,15,12,12
118,douglas,robert,robert.douglas@univ.edu,8,9,13,10,8
119,johnston,robert,robert.johnston@univ.edu,9,12,13,10,5
120,flores,russell,russell.flores@univ.edu,7,8,13,9,12
121,smith,samantha,samantha.smith@univ.edu,6,7,17,5,6
122,weber,samuel,samuel.weber@univ.edu,6,12,14,5,6
123,thomas,sandra,sandra.thomas@univ.edu,9,10,14,8,4
124,vasquez,sara,sara.vasquez@univ.edu,5,7,8,6,5
125,jones,sarah,sarah.jones@univ.edu,9,15,15,14,12
126,cervantes,scott,scott.cervantes@univ.edu,4,8,9,12,9
127,marshall,shawn,shawn.marshall@univ.edu,8,9,15,11,6
128,rogers,sherry,sherry.rogers@univ.edu,4,12,17,9,11
129,good,sherry,sherry.good@univ.edu,6,12,7,7,9
130,johnson,stacy,stacy.johnson@univ.edu,6,14,11,7,7
131,sampson,stephanie,stephanie.sampson@univ.edu,10,10,6,12,4
132,miller,stephen,stephen.miller@univ.edu,8,10,7,13,4
133,roberts,steven,steven.roberts@univ.edu,8,14,8,9,8
134,warren,tamara,tamara.warren@univ.edu,10,14,16,7,11
135,leon,tammy,tammy.leon@univ.edu,4,14,17,6,4
136,johnson,tara,tara.johnson@univ.edu,6,6,10,14,12
137,hernandez,taylor,taylor.hernandez@univ.edu,11,12,14,5,9
138,terry,thomas,thomas.terry@univ.edu,8,14,13,8,9
139,ortega,tiffany,tiffany.ortega@univ.edu,7,8,15,14,12
140,parker,timothy,timothy.parker@univ.edu,9,14,13,14,10
141,ramirez,timothy,timothy.ramirez@univ.edu,4,8,13,6,4
142,edwards,timothy,timothy.edwards@univ.edu,6,14,6,5,7
143,foster,tommy,tommy.foster@univ.edu,9,9,7,10,9
144,joyce,traci,traci.joyce@univ.edu,8,6,14,9,4
145,washington,travis,travis.washington@univ.edu,11,13,10,9,8
146,raymond,troy,troy.raymond@univ.edu,7,7,14,7,5
147,boyd,victoria,victoria.boyd@univ.edu,9,8,6,6,8
148,daniel,william,william.daniel@univ.edu,9,10,10,9,5
149,barrera,woody,woody.barrera_jr@univ.edu,4,10,11,7,10
