NetID,Name,Last_Name,Email,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
bxm17365,miranda, brett,BRETT.MIRANDA@UNIV.EDU,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100
bxr62103,reyes, bailey,BAILEY.REYES@UNIV.EDU,Bailey,Reyes,53.0,80,50,80,55,80,97,100,57,70,75,90,39,50,64,70,41,60,46,60,90,100,72,100,71,100
bxs54690,schwartz, billy,BILLY.SCHWARTZ@UNIV.EDU,Billy,Schwartz,56.0,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100
bxt62105,thomas, brandon,BRANDON.THOMAS@UNIV.EDU,Brandon,Thomas,80.0,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,86,100,72,100,65,100
chh70562,holt, crystal heather,CRYSTAL.HOLT@UNIV.EDU,Crystal,Holt,68.0,80,51,80,64,80,91,100,52,70,67,90,37,50,43,70,45,60,39,60,63,100,97,100,73,100
cjs43553,smith, crystal jason,CRYSTAL.SMITH@UNIV.EDU,Crystal,Smith,63.0,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,85,100,88,100,60,100
cxa22039,allen, christina,CHRISTINA.ALLEN@UNIV.EDU,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100
cxc08121,campbell, charles,CHARLES.CAMPBELL@UNIV.EDU,Charles,Campbell,60.0,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100
cxd92501,dennis, cameron,CAMERON.DENNIS@UNIV.EDU,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100
cxg21963,guzman, cynthia,CYNTHIA.GUZMAN@UNIV.EDU,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100
cxh80084,hart, colleen,COLLEEN.HART@UNIV.EDU,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100
cxn83965,nguyen, cindy,CINDY.NGUYEN@UNIV.EDU,Cindy,Nguyen,51.0,80,59,80,58,80,63,100,52,70,58,90,50,50,66,70,46,60,41,60,82,100,68,100,82,100
cxr98775,reyes, carol,CAROL.REYES@UNIV.EDU,Carol,Reyes,75.0,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,99,100,91,100,90,100
cxw68726,watkins, carol,CAROL.WATKINS@UNIV.EDU,Carol,Watkins,64.0,80,76,80,69,80,88,100,60,70,66,90,36,50,51,70,55,60,57,60,62,100,92,100,98,100
cxw91147,wolf, courtney,COURTNEY.WOLF@UNIV.EDU,Courtney,Wolf,80.0,80,79,80,66,80,63,100,56,70,71,90,48,50,43,70,52,60,43,60,88,100,86,100,62,100
dcj14616,jones, daniel carolyn,DANIEL.JONES@UNIV.EDU,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100
djb29817,beck, david john,DAVID.BECK@UNIV.EDU,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100
djd31335,delgado, desiree jennifer,DESIREE.DELGADO@UNIV.EDU,Desiree,Delgado,69.0,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100
dma58910,anderson, daisy michael,DAISY.ANDERSON@UNIV.EDU,Daisy,Anderson,64.0,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100
dsg54218,garcia, desiree stephanie,DESIREE.GARCIA@UNIV.EDU,Desiree,Garcia,68.0,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100
dsl24347,lee, danielle stephanie,DANIELLE.LEE@UNIV.EDU,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100
dxj78877,johnson, dylan,DYLAN.JOHNSON@UNIV.EDU,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100
dxn21936,nguyen, donna,DONNA.NGUYEN@UNIV.EDU,Donna,Nguyen,52.0,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100
dxp49123,payne, douglas,DOUGLAS.PAYNE@UNIV.EDU,Douglas,Payne,48.0,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100
edh14938,houston, emily donna,EMILY.HOUSTON@UNIV.EDU,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100
eed42850,dudley, emily emily,EMILY.DUDLEY@UNIV.EDU,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100
exd72538,duffy, erin,ERIN.DUFFY@UNIV.EDU,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100
fxs77894,simpson, felicia,FELICIA.SIMPSON@UNIV.EDU,Felicia,Simpson,59.0,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,63,100,90,100,99,100
hsw06874,watson, holly samuel,HOLLY.WATSON@UNIV.EDU,Holly,Watson,66.0,80,51,80,66,80,79,100,53,70,55,90,35,50,61,70,49,60,49,60,81,100,100,100,90,100
hxg56446,glover, heidi,HEIDI.GLOVER@UNIV.EDU,Heidi,Glover,65.0,80,52,80,60,80,65,100,45,70,81,90,47,50,43,70,51,60,48,60,60,100,83,100,83,100
hxw92728,webb, heather,HEATHER.WEBB@UNIV.EDU,Heather,Webb,56.0,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,100,100,61,100,62,100
jag55224,garza, jessica allison,JESSICA.GARZA@UNIV.EDU,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100
jgc21028,clark, jill gregg,JILL.CLARK@UNIV.EDU,Jill,Clark,70.0,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100
jgf12345,flower, john gregg,JOHN.G.2.FLOWER@UNIV.EDU,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100
jlh15029,harris, john lisa,JOHN.HARRIS@UNIV.EDU,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100
jmp63760,pena, jonathan michael,JONATHAN.PENA@UNIV.EDU,Jonathan,Pena,53.0,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100
jsr21334,rodriguez, john sandra,JOHN.RODRIGUEZ@UNIV.EDU,John,Rodriguez,78.0,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,92,100,68,100,89,100
jty40106,young, joseph teresa,JOSEPH.YOUNG@UNIV.EDU,Joseph,Young,51.0,80,69,80,60,80,68,100,67,70,63,90,49,50,42,70,55,60,49,60,72,100,68,100,96,100
jxb40799,bauer, john,JOHN.BAUER@UNIV.EDU,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100
jxj82678,johnson, jamie,JAMIE.JOHNSON@UNIV.EDU,Jamie,Johnson,74.0,80,78,80,76,80,100,100,66,70,85,90,40,50,67,70,36,60,50,60,63,100,71,100,90,100
jxm83777,miller, jorge,JORGE.MILLER@UNIV.EDU,Jorge,Miller,69.0,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100
jxo31236,odom, john,JOHN.ODOM@UNIV.EDU,John,Odom,59.0,80,59,80,60,80,61,100,44,70,62,90,34,50,66,70,52,60,55,60,85,100,100,100,80,100
jxp06435,perez, jeffrey,JEFFREY.PEREZ@UNIV.EDU,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100
jxr10806,reyes, jason,JASON.REYES@UNIV.EDU,Jason,Reyes,67.0,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,70,100,81,100,86,100
jxu45537,underwood, james,JAMES.UNDERWOOD@UNIV.EDU,James,Underwood,65.0,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100
jxw53347,walls, joyce,JOYCE.WALLS@UNIV.EDU,Joyce,Walls,59.0,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100
jxw87000,woodard, john,JOHN.WOODARD@UNIV.EDU,John,Woodard,51.0,80,68,80,56,80,71,100,69,70,60,90,33,50,56,70,41,60,60,60,68,100,93,100,62,100
jxw98212,walsh, jill,JILL.WALSH@UNIV.EDU,Jill,Walsh,65.0,80,48,80,49,80,73,100,47,70,74,90,38,50,68,70,50,60,38,60,73,100,99,100,78,100
kam90876,moore, kimberly andrea,KIMBERLY.MOORE@UNIV.EDU,Kimberly,Moore,79.0,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100
kpr82051,rhodes, kimberly peter,KIMBERLY.RHODES@UNIV.EDU,Kimberly,Rhodes,60.0,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,61,100,62,100,97,100
ksb85997,brown, kelsey steven,KELSEY.BROWN@UNIV.EDU,Kelsey,Brown,78.0,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100
ksp17362,petersen, kristin sarah,KRISTIN.PETERSEN@UNIV.EDU,Kristin,Petersen,49.0,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100
kxf45205,faulkner, katelyn,KATELYN.FAULKNER@UNIV.EDU,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100
kxm62826,mccall, kimberly,KIMBERLY.MCCALL@UNIV.EDU,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100
kxs29884,smith, kerry,KERRY.SMITH@UNIV.EDU,Kerry,Smith,53.0,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100
kxw26270,williams, kimberly,KIMBERLY.WILLIAMS@UNIV.EDU,Kimberly,Williams,72.0,80,80,80,63,80,87,100,57,70,71,90,30,50,43,70,42,60,49,60,82,100,95,100,85,100
lba53221,anderson, lauren billy,LAUREN.ANDERSON@UNIV.EDU,Lauren,Anderson,55.0,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100
lcr30757,reid, laura clarence,LAURA.REID@UNIV.EDU,Laura,Reid,51.0,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,64,100,86,100,86,100
lkw48972,wilkerson, levi kayla,LEVI.WILKERSON@UNIV.EDU,Levi,Wilkerson,52.0,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,71,100,96,100,93,100
llf55044,friedman, linda lance,LINDA.FRIEDMAN@UNIV.EDU,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100
lmb95641,brock, lauren mark,LAUREN.BROCK@UNIV.EDU,Lauren,Brock,74.0,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100
lxb98047,baldwin, lucas,LUCAS.BALDWIN@UNIV.EDU,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100
lxc64780,carter, lorraine,LORRAINE.CARTER@UNIV.EDU,Lorraine,Carter,50.0,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100
lxd16906,davidson, luke,LUKE.DAVIDSON@UNIV.EDU,Luke,Davidson,49.0,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100
lxg35058,gordon, lori,LORI.GORDON@UNIV.EDU,Lori,Gordon,52.0,80,74,80,75,80,79,100,67,70,72,90,50,50,51,70,40,60,38,60,88,100,96,100,76,100
lxs77616,sparks, leslie,LESLIE.SPARKS@UNIV.EDU,Leslie,Sparks,66.0,80,77,80,54,80,66,100,48,70,56,90,38,50,63,70,43,60,50,60,61,100,95,100,90,100
mat59156,taylor, michael ashley,MICHAEL.TAYLOR@UNIV.EDU,Michael,Taylor,58.0,80,60,80,50,80,72,100,46,70,68,90,37,50,49,70,47,60,36,60,91,100,68,100,66,100
mjg41514,gonzalez, matthew justin,MATTHEW.GONZALEZ@UNIV.EDU,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100
mjj83180,james, margaret juan,MARGARET.JAMES@UNIV.EDU,Margaret,James,67.0,80,63,80,48,80,81,100,62,70,89,90,36,50,57,70,48,60,51,60,85,100,90,100,97,100
mjp68159,patrick, mark jennifer,MARK.PATRICK@UNIV.EDU,Mark,Patrick,70.0,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100
msl77920,lopez, mark steven,MARK.LOPEZ@UNIV.EDU,Mark,Lopez,58.0,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100
mxb67936,benton, michael,MICHAEL.BENTON@UNIV.EDU,Michael,Benton,54.0,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100
mxj54725,jones, michele,MICHELE.JONES@UNIV.EDU,Michele,Jones,67.0,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100
mxl12345,lambert, malaika,MALAIKA.LAMBERT@UNIV.EDU,Malaika,Lambert,63.0,80,57,80,78,80,83,100,61,70,88,90,42,50,58,70,45,60,37,60,60,100,91,100,93,100
mxl67812,lee, michelle,MICHELLE.LEE@UNIV.EDU,Michelle,Lee,56.0,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100
mxp86000,poole, melissa,MELISSA.POOLE@UNIV.EDU,Melissa,Poole,62.0,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,88,100,97,100,83,100
mxs29840,stevens, marcia,MARCIA.STEVENS@UNIV.EDU,Marcia,Stevens,51.0,80,72,80,60,80,84,100,68,70,73,90,50,50,65,70,59,60,59,60,63,100,99,100,83,100
mxs33225,scott, michelle,MICHELLE.SCOTT@UNIV.EDU,Michelle,Scott,52.0,80,55,80,72,80,66,100,44,70,79,90,35,50,52,70,50,60,42,60,87,100,77,100,92,100
mxs33416,smith, matthew,MATTHEW.SMITH@UNIV.EDU,Matthew,Smith,75.0,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100
njp08545,patterson, nicole jennifer,NICOLE.PATTERSON@UNIV.EDU,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100
nsb43944,bates, nathan stephanie,NATHAN.BATES@UNIV.EDU,Nathan,Bates,68.0,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100
nxe44872,edwards, nicole,NICOLE.EDWARDS@UNIV.EDU,Nicole,Edwards,62.0,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100
nxm87406,mann, nicole,NICOLE.MANN@UNIV.EDU,Nicole,Mann,73.0,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100
oxr30270,rush, oscar,OSCAR.RUSH@UNIV.EDU,Oscar,Rush,50.0,80,56,80,65,80,80,100,42,70,68,90,34,50,67,70,57,60,40,60,74,100,80,100,66,100
pmj37756,johnson, paul mark,PAUL.JOHNSON@UNIV.EDU,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100
pmk49230,king, paige mary,PAIGE.KING@UNIV.EDU,Paige,King,61.0,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100
pxe53402,evans, patricia,PATRICIA.EVANS@UNIV.EDU,Patricia,Evans,57.0,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100
rcf61653,flores, russell chad,RUSSELL.FLORES@UNIV.EDU,Russell,Flores,48.0,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100
rge65208,elliott, richard gwendolyn,RICHARD.ELLIOTT@UNIV.EDU,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100
rjb91830,bennett, richard jamie,RICHARD.BENNETT@UNIV.EDU,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100
rkr43763,rice, rhonda kyle,RHONDA.RICE@UNIV.EDU,Rhonda,Rice,77.0,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100
rsj94156,johnston, robert stephanie,ROBERT.JOHNSTON@UNIV.EDU,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100
rxd29805,douglas, robert,ROBERT.DOUGLAS@UNIV.EDU,Robert,Douglas,57.0,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100
rxd55884,dennis, rachel,RACHEL.DENNIS@UNIV.EDU,Rachel,Dennis,73.0,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100
rxp56459,price, ricardo,RICARDO.PRICE@UNIV.EDU,Ricardo,Price,77.0,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,68,100,92,100,75,100
rxs30280,saunders, richard,RICHARD.SAUNDERS@UNIV.EDU,Richard,Saunders,53.0,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100
sbr74322,rogers, sherry benjamin,SHERRY.ROGERS@UNIV.EDU,Sherry,Rogers,58.0,80,60,80,49,80,68,100,50,70,75,90,33,50,44,70,55,60,56,60,63,100,92,100,80,100
sem28474,miller, stephen elizabeth,STEPHEN.MILLER@UNIV.EDU,Stephen,Miller,50.0,80,48,80,63,80,77,100,57,70,81,90,49,50,69,70,55,60,41,60,72,100,70,100,97,100
sgm04582,marshall, shawn grace,SHAWN.MARSHALL@UNIV.EDU,Shawn,Marshall,70.0,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100
skr62062,roberts, steven katherine,STEVEN.ROBERTS@UNIV.EDU,Steven,Roberts,56.0,80,75,80,76,80,92,100,59,70,74,90,38,50,60,70,59,60,49,60,70,100,80,100,67,100
smg03171,good, sherry mark,SHERRY.GOOD@UNIV.EDU,Sherry,Good,50.0,80,48,80,77,80,94,100,54,70,77,90,44,50,62,70,48,60,47,60,89,100,88,100,64,100
smj00936,johnson, stacy michael,STACY.JOHNSON@UNIV.EDU,Stacy,Johnson,74.0,80,55,80,60,80,67,100,46,70,85,90,43,50,42,70,59,60,48,60,96,100,80,100,86,100
sxc85021,cervantes, scott,SCOTT.CERVANTES@UNIV.EDU,Scott,Cervantes,51.0,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100
sxj49423,jones, sarah,SARAH.JONES@UNIV.EDU,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100
sxs30610,sampson, stephanie,STEPHANIE.SAMPSON@UNIV.EDU,Stephanie,Sampson,77.0,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,87,100,100,100,75,100
sxs90647,smith, samantha,SAMANTHA.SMITH@UNIV.EDU,Samantha,Smith,48.0,80,61,80,49,80,70,100,61,70,87,90,36,50,59,70,53,60,44,60,69,100,100,100,74,100
sxt33634,thomas, sandra,SANDRA.THOMAS@UNIV.EDU,Sandra,Thomas,65.0,80,66,80,67,80,68,100,69,70,65,90,39,50,64,70,41,60,38,60,88,100,62,100,96,100
sxv18182,vasquez, sara,SARA.VASQUEZ@UNIV.EDU,Sara,Vasquez,63.0,80,65,80,67,80,98,100,70,70,65,90,32,50,55,70,40,60,38,60,64,100,73,100,75,100
sxw76890,weber, samuel,SAMUEL.WEBER@UNIV.EDU,Samuel,Weber,71.0,80,78,80,74,80,86,100,69,70,81,90,31,50,48,70,55,60,44,60,79,100,96,100,86,100
tbr17292,raymond, troy bryan,TROY.RAYMOND@UNIV.EDU,Troy,Raymond,50.0,80,59,80,79,80,98,100,65,70,68,90,44,50,66,70,45,60,49,60,91,100,67,100,100,100
tce09928,edwards, timothy caroline,TIMOTHY.EDWARDS@UNIV.EDU,Timothy,Edwards,49.0,80,72,80,60,80,87,100,49,70,84,90,30,50,49,70,39,60,60,60,68,100,73,100,71,100
tgl37922,leon, tammy gregory,TAMMY.LEON@UNIV.EDU,Tammy,Leon,63.0,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,88,100,90,100,87,100
