,NetID,Name,Last_Name,Email,Exam 1 Score,Exam 2 Score,Exam 3 Score,Final Quizes Grade,Final Home Work
20,bjg14618,graham, benjamin james,benjamin.graham@univ.edu,0.81,0.73,0.81,0.5942028985507246,0.7878378378378378
21,bkr19538,reilly, brandy kevin,brandy.reilly@univ.edu,0.69,0.67,0.95,0.7142857142857143,0.8256756756756757
22,bmb94857,bailey, belinda michael,belinda.bailey@univ.edu,0.83,0.95,0.87,0.6231884057971014,0.822972972972973
23,bms82804,sanders, beth melissa,beth.sanders@univ.edu,0.73,0.71,0.67,0.6428571428571429,0.8027027027027027
24,bxb28023,bryan, bradley,bradley.bryan@univ.edu,0.96,0.82,0.66,0.6956521739130435,0.8527027027027027
25,bxm17365,miranda, brett,brett.miranda@univ.edu,0.82,0.94,0.95,0.782608695652174,0.7878378378378378
26,bxr62103,reyes, bailey,bailey.reyes@univ.edu,0.9,0.72,0.71,0.7971014492753623,0.7797297297297298
27,bxs54690,schwartz, billy,billy.schwartz@univ.edu,0.89,0.62,0.93,0.7681159420289855,0.7418918918918919
28,bxt62105,thomas, brandon,brandon.thomas@univ.edu,0.86,0.72,0.65,0.6086956521739131,0.7635135135135135
29,chh70562,holt, crystal heather,crystal.holt@univ.edu,0.63,0.97,0.73,0.7971014492753623,0.7527027027027027
30,cjs43553,smith, crystal jason,crystal.smith@univ.edu,0.85,0.88,0.6,0.6811594202898551,0.8486486486486486
31,cxa22039,allen, christina,christina.allen@univ.edu,0.6,0.7,0.67,0.8405797101449275,0.8324324324324325
32,cxc08121,campbell, charles,charles.campbell@univ.edu,0.66,0.96,1.0,0.8115942028985508,0.7945945945945946
33,cxd92501,dennis, cameron,cameron.dennis@univ.edu,0.88,0.66,0.68,0.463768115942029,0.7810810810810811
34,cxg21963,guzman, cynthia,cynthia.guzman@univ.edu,0.64,0.74,0.66,0.7536231884057971,0.7405405405405405
35,cxh80084,hart, colleen,colleen.hart@univ.edu,0.68,0.72,0.62,0.6521739130434783,0.7567567567567568
36,cxn83965,nguyen, cindy,cindy.nguyen@univ.edu,0.82,0.68,0.82,0.7142857142857143,0.7351351351351352
37,cxr98775,reyes, carol,carol.reyes@univ.edu,0.99,0.91,0.9,0.6956521739130435,0.8189189189189189
38,cxw68726,watkins, carol,carol.watkins@univ.edu,0.62,0.92,0.98,0.4782608695652174,0.8405405405405405
39,cxw91147,wolf, courtney,courtney.wolf@univ.edu,0.88,0.86,0.62,0.7246376811594203,0.8121621621621622
40,dcj14616,jones, daniel carolyn,daniel.jones@univ.edu,0.79,0.68,0.61,0.7142857142857143,0.8094594594594594
41,djb29817,beck, david john,david.beck@univ.edu,0.91,0.74,0.65,0.5362318840579711,0.7283783783783784
42,djd31335,delgado, desiree jennifer,desiree.delgado@univ.edu,0.88,0.69,0.78,0.463768115942029,0.7945945945945946
43,dma58910,anderson, daisy michael,daisy.anderson@univ.edu,0.92,0.66,0.94,0.5507246376811594,0.7243243243243244
44,dsg54218,garcia, desiree stephanie,desiree.garcia@univ.edu,0.81,0.99,0.7,0.5797101449275363,0.8554054054054054
45,dsl24347,lee, danielle stephanie,danielle.lee@univ.edu,0.62,0.7,0.9,0.6231884057971014,0.822972972972973
46,dxj78877,johnson, dylan,dylan.johnson@univ.edu,0.72,0.64,0.99,0.7142857142857143,0.731081081081081
47,dxn21936,nguyen, donna,donna.nguyen@univ.edu,0.7,0.87,0.64,0.6666666666666666,0.768918918918919
48,dxp49123,payne, douglas,douglas.payne@univ.edu,0.74,0.71,0.96,0.5652173913043478,0.7418918918918919
49,edh14938,houston, emily donna,emily.houston@univ.edu,1.0,0.78,0.87,0.7857142857142857,0.7581081081081081
50,eed42850,dudley, emily emily,emily.dudley@univ.edu,0.96,0.73,0.76,0.6428571428571429,0.8054054054054054
51,exd72538,duffy, erin,erin.duffy@univ.edu,0.85,0.92,0.88,0.7246376811594203,0.7324324324324324
52,fxs77894,simpson, felicia,felicia.simpson@univ.edu,0.63,0.9,0.99,0.8571428571428571,0.8351351351351352
53,hsw06874,watson, holly samuel,holly.watson@univ.edu,0.81,1.0,0.9,0.6376811594202898,0.7621621621621621
54,hxg56446,glover, heidi,heidi.glover@univ.edu,0.6,0.83,0.83,0.6428571428571429,0.7527027027027027
55,hxw92728,webb, heather,heather.webb@univ.edu,1.0,0.61,0.62,0.6521739130434783,0.7013513513513514
56,jag55224,garza, jessica allison,jessica.garza@univ.edu,0.9,0.79,0.62,0.7681159420289855,0.8040540540540541
57,jgc21028,clark, jill gregg,jill.clark@univ.edu,0.62,0.94,0.88,0.6376811594202898,0.8243243243243243
58,jgf12345,flower, john gregg,john.g.2.flower@univ.edu,0.72,0.83,0.77,0.6086956521739131,0.7702702702702703
59,jlh15029,harris, john lisa,john.harris@univ.edu,0.91,0.9,0.95,0.8571428571428571,0.8621621621621621
60,jmp63760,pena, jonathan michael,jonathan.pena@univ.edu,0.74,0.79,0.84,0.6521739130434783,0.7594594594594595
61,jsr21334,rodriguez, john sandra,john.rodriguez@univ.edu,0.92,0.68,0.89,0.6956521739130435,0.7891891891891892
62,jty40106,young, joseph teresa,joseph.young@univ.edu,0.72,0.68,0.96,0.7971014492753623,0.7743243243243243
63,jxb40799,bauer, john,john.bauer@univ.edu,0.64,0.88,0.92,0.5942028985507246,0.8432432432432433
64,jxj82678,johnson, jamie,jamie.johnson@univ.edu,0.63,0.71,0.9,0.7246376811594203,0.9081081081081082
65,jxm83777,miller, jorge,jorge.miller@univ.edu,0.74,0.73,0.81,0.7857142857142857,0.831081081081081
66,jxo31236,odom, john,john.odom@univ.edu,0.85,1.0,0.8,0.7101449275362319,0.745945945945946
67,jxp06435,perez, jeffrey,jeffrey.perez@univ.edu,0.67,0.81,0.95,0.6428571428571429,0.7959459459459459
68,jxr10806,reyes, jason,jason.reyes@univ.edu,0.7,0.81,0.86,0.6521739130434783,0.8
69,jxu45537,underwood, james,james.underwood@univ.edu,0.77,0.76,0.84,0.6428571428571429,0.8283783783783784
70,jxw53347,walls, joyce,joyce.walls@univ.edu,0.69,0.73,0.91,0.8571428571428571,0.7513513513513513
71,jxw87000,woodard, john,john.woodard@univ.edu,0.68,0.93,0.62,0.8260869565217391,0.7635135135135135
72,jxw98212,walsh, jill,jill.walsh@univ.edu,0.73,0.99,0.78,0.5507246376811594,0.7432432432432432
73,kam90876,moore, kimberly andrea,kimberly.moore@univ.edu,0.64,0.96,0.64,0.7101449275362319,0.7945945945945946
74,kpr82051,rhodes, kimberly peter,kimberly.rhodes@univ.edu,0.61,0.62,0.97,0.8115942028985508,0.7635135135135135
75,ksb85997,brown, kelsey steven,kelsey.brown@univ.edu,0.8,0.69,0.83,0.7536231884057971,0.822972972972973
76,ksp17362,petersen, kristin sarah,kristin.petersen@univ.edu,0.97,0.68,0.97,0.4782608695652174,0.8283783783783784
77,kxf45205,faulkner, katelyn,katelyn.faulkner@univ.edu,0.68,0.6,0.61,0.7971014492753623,0.8081081081081081
78,kxm62826,mccall, kimberly,kimberly.mccall@univ.edu,0.79,0.98,0.6,0.7536231884057971,0.8378378378378378
79,kxs29884,smith, kerry,kerry.smith@univ.edu,0.62,0.95,0.84,0.6231884057971014,0.7837837837837838
80,kxw26270,williams, kimberly,kimberly.williams@univ.edu,0.82,0.95,0.85,0.6428571428571429,0.8027027027027027
81,lba53221,anderson, lauren billy,lauren.anderson@univ.edu,0.94,0.67,0.86,0.6086956521739131,0.7891891891891892
82,lcr30757,reid, laura clarence,laura.reid@univ.edu,0.64,0.86,0.86,0.8571428571428571,0.7027027027027027
83,lkw48972,wilkerson, levi kayla,levi.wilkerson@univ.edu,0.71,0.96,0.93,0.8571428571428571,0.7256756756756757
84,llf55044,friedman, linda lance,linda.friedman@univ.edu,0.64,0.86,0.7,0.5797101449275363,0.8094594594594594
85,lmb95641,brock, lauren mark,lauren.brock@univ.edu,0.75,0.72,0.96,0.7391304347826086,0.827027027027027
86,lxb98047,baldwin, lucas,lucas.baldwin@univ.edu,0.83,0.74,0.97,0.7857142857142857,0.8567567567567568
87,lxc64780,carter, lorraine,lorraine.carter@univ.edu,0.68,0.69,0.99,0.782608695652174,0.7405405405405405
88,lxd16906,davidson, luke,luke.davidson@univ.edu,0.92,0.62,0.6,0.6956521739130435,0.8297297297297297
89,lxg35058,gordon, lori,lori.gordon@univ.edu,0.88,0.96,0.76,0.7246376811594203,0.8081081081081081
90,lxs77616,sparks, leslie,leslie.sparks@univ.edu,0.61,0.95,0.9,0.6956521739130435,0.7581081081081081
91,mat59156,taylor, michael ashley,michael.taylor@univ.edu,0.91,0.68,0.66,0.7246376811594203,0.7067567567567568
92,mjg41514,gonzalez, matthew justin,matthew.gonzalez@univ.edu,0.78,0.73,0.6,0.8571428571428571,0.8202702702702702
93,mjj83180,james, margaret juan,margaret.james@univ.edu,0.85,0.9,0.97,0.7857142857142857,0.8135135135135135
94,mjp68159,patrick, mark jennifer,mark.patrick@univ.edu,0.92,0.65,0.8,0.6231884057971014,0.8135135135135135
95,msl77920,lopez, mark steven,mark.lopez@univ.edu,0.94,0.87,0.78,0.7246376811594203,0.75
96,mxb67936,benton, michael,michael.benton@univ.edu,0.78,0.91,0.91,0.6376811594202898,0.7581081081081081
97,mxj54725,jones, michele,michele.jones@univ.edu,1.0,0.82,0.63,0.5362318840579711,0.8621621621621621
98,mxl12345,lambert, malaika,malaika.lambert@univ.edu,0.6,0.91,0.93,0.6811594202898551,0.827027027027027
99,mxl67812,lee, michelle,michelle.lee@univ.edu,0.91,0.76,0.77,0.8405797101449275,0.7743243243243243
100,mxp86000,poole, melissa,melissa.poole@univ.edu,0.88,0.97,0.83,0.7246376811594203,0.8432432432432433
101,mxs29840,stevens, marcia,marcia.stevens@univ.edu,0.63,0.99,0.83,0.8840579710144928,0.8662162162162163
102,mxs33225,scott, michelle,michelle.scott@univ.edu,0.87,0.77,0.92,0.7971014492753623,0.7391891891891892
103,mxs33416,smith, matthew,matthew.smith@univ.edu,0.66,0.63,0.93,0.6376811594202898,0.777027027027027
104,njp08545,patterson, nicole jennifer,nicole.patterson@univ.edu,0.96,0.91,0.95,0.7681159420289855,0.8175675675675675
105,nsb43944,bates, nathan stephanie,nathan.bates@univ.edu,0.71,0.76,0.82,0.7142857142857143,0.8432432432432433
106,nxe44872,edwards, nicole,nicole.edwards@univ.edu,0.89,0.63,0.65,0.7681159420289855,0.8391891891891892
107,nxm87406,mann, nicole,nicole.mann@univ.edu,0.99,0.85,0.97,0.7391304347826086,0.8743243243243243
108,oxr30270,rush, oscar,oscar.rush@univ.edu,0.74,0.8,0.66,0.5217391304347826,0.7554054054054054
109,pmj37756,johnson, paul mark,paul.johnson@univ.edu,0.84,0.8,0.94,0.782608695652174,0.7351351351351352
110,pmk49230,king, paige mary,paige.king@univ.edu,0.97,0.99,0.63,0.8840579710144928,0.8243243243243243
111,pxe53402,evans, patricia,patricia.evans@univ.edu,0.72,0.91,0.68,0.6086956521739131,0.7945945945945946
112,rcf61653,flores, russell chad,russell.flores@univ.edu,0.64,0.78,0.98,0.8571428571428571,0.8364864864864865
113,rge65208,elliott, richard gwendolyn,richard.elliott@univ.edu,0.66,0.64,0.74,0.8571428571428571,0.754054054054054
114,rjb91830,bennett, richard jamie,richard.bennett@univ.edu,0.66,0.97,0.88,0.7142857142857143,0.8297297297297297
115,rkr43763,rice, rhonda kyle,rhonda.rice@univ.edu,0.61,0.98,0.96,0.6666666666666666,0.7675675675675676
116,rsj94156,johnston, robert stephanie,robert.johnston@univ.edu,0.98,0.61,0.74,0.7101449275362319,0.7594594594594595
117,rxd29805,douglas, robert,robert.douglas@univ.edu,0.86,0.67,0.87,0.6956521739130435,0.7824324324324324
118,rxd55884,dennis, rachel,rachel.dennis@univ.edu,0.72,0.98,0.86,0.7857142857142857,0.7837837837837838
119,rxp56459,price, ricardo,ricardo.price@univ.edu,0.68,0.92,0.75,0.8571428571428571,0.8162162162162162
120,rxs30280,saunders, richard,richard.saunders@univ.edu,0.65,0.93,0.64,0.8571428571428571,0.7108108108108108
121,sbr74322,rogers, sherry benjamin,sherry.rogers@univ.edu,0.63,0.92,0.8,0.7857142857142857,0.7405405405405405
122,sem28474,miller, stephen elizabeth,stephen.miller@univ.edu,0.72,0.7,0.97,0.6086956521739131,0.7972972972972973
123,sgm04582,marshall, shawn grace,shawn.marshall@univ.edu,0.69,0.68,0.62,0.7101449275362319,0.7675675675675676
124,skr62062,roberts, steven katherine,steven.roberts@univ.edu,0.7,0.8,0.67,0.6811594202898551,0.8621621621621621
125,smg03171,good, sherry mark,sherry.good@univ.edu,0.89,0.88,0.64,0.6428571428571429,0.8121621621621622
126,smj00936,johnson, stacy michael,stacy.johnson@univ.edu,0.96,0.8,0.86,0.6521739130434783,0.7824324324324324
127,sxc85021,cervantes, scott,scott.cervantes@univ.edu,0.6,1.0,0.89,0.6428571428571429,0.8364864864864865
128,sxj49423,jones, sarah,sarah.jones@univ.edu,0.89,0.68,0.94,0.9420289855072463,0.7243243243243244
129,sxs30610,sampson, stephanie,stephanie.sampson@univ.edu,0.87,1.0,0.75,0.6086956521739131,0.8324324324324325
130,sxs90647,smith, samantha,samantha.smith@univ.edu,0.69,1.0,0.74,0.5942028985507246,0.7675675675675676
131,sxt33634,thomas, sandra,sandra.thomas@univ.edu,0.88,0.62,0.96,0.6521739130434783,0.7864864864864864
132,sxv18182,vasquez, sara,sara.vasquez@univ.edu,0.64,0.73,0.75,0.4492753623188406,0.8013513513513514
133,sxw76890,weber, samuel,samuel.weber@univ.edu,0.79,0.96,0.86,0.6231884057971014,0.8608108108108108
134,tbr17292,raymond, troy bryan,troy.raymond@univ.edu,0.91,0.67,1.0,0.5797101449275363,0.8418918918918918
135,tce09928,edwards, timothy caroline,timothy.edwards@univ.edu,0.68,0.73,0.71,0.5507246376811594,0.7824324324324324
136,tgl37922,leon, tammy gregory,tammy.leon@univ.edu,0.88,0.9,0.87,0.6521739130434783,0.8094594594594594
137,thh29195,hernandez, taylor harold,taylor.hernandez@univ.edu,0.92,0.83,0.98,0.7391304347826086,0.7391891891891892
138,tmo55387,ortega, tiffany maria,tiffany.ortega@univ.edu,0.7,0.82,0.62,0.8571428571428571,0.7743243243243243
139,tsw14969,warren, tamara shawn,tamara.warren@univ.edu,0.77,0.8,0.99,0.8405797101449275,0.7945945945945946
140,txf41578,foster, tommy,tommy.foster@univ.edu,0.78,0.88,0.65,0.6428571428571429,0.7743243243243243
141,txj12345,joyce, traci,traci.joyce@univ.edu,1.0,0.84,0.64,0.5942028985507246,0.8797297297297297
142,txj17476,johnson, tara,tara.johnson@univ.edu,0.71,0.91,0.95,0.8571428571428571,0.7824324324324324
143,txp55047,parker, timothy,timothy.parker@univ.edu,0.73,0.93,0.66,0.8695652173913043,0.7972972972972973
144,txr84689,ramirez, timothy,timothy.ramirez@univ.edu,0.84,0.69,0.87,0.5072463768115942,0.8405405405405405
145,txt65366,terry, thomas,thomas.terry@univ.edu,0.83,0.74,0.99,0.7536231884057971,0.7864864864864864
146,txw75701,washington, travis,travis.washington@univ.edu,0.94,0.74,0.68,0.7391304347826086,0.8391891891891892
147,vkb66346,boyd, victoria kimberly,victoria.boyd@univ.edu,0.68,0.93,0.69,0.5714285714285714,0.8189189189189189
148,wad63934,daniel, william austin,william.daniel@univ.edu,0.84,0.91,0.95,0.6231884057971014,0.7675675675675676
149,wxb12345,barrera jr., woody,woody.barrera_jr@univ.edu,0.86,0.62,0.9,0.7142857142857143,0.8081081081081081
