SID,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
rge65208,richard.elliott@univ.edu,1,Richard,Elliott,49,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100,12,11,13,17,6,0.66,0.64,0.74,0.754054054,0.750710317,0.754054054,0.754054054,0.8395671,0.8395671,0.761491751,77,C
kxf45205,katelyn.faulkner@univ.edu,1,Katelyn,Faulkner,65,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100,6,14,12,17,6,0.68,0.6,0.61,0.808108108,0.801948413,0.808108108,0.808108108,0.769090909,0.808108108,0.751175676,76,C
txf41578,tommy.foster@univ.edu,1,Tommy,Foster,49,80,63,80,51,80,83,100,64,70,86,90,32,50,56,70,51,60,38,60,78,100,88,100,65,100,9,10,9,7,9,0.78,0.88,0.65,0.774324324,0.76606746,0.774324324,0.774324324,0.658846448,0.774324324,0.766527027,77,C
jag55224,jessica.garza@univ.edu,1,Jessica,Garza,49,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100,10,11,8,16,8,0.9,0.79,0.62,0.804054054,0.81209127,0.81209127,0.804054054,0.76416603,0.804054054,0.783052724,79,C
mjg41514,matthew.gonzalez@univ.edu,1,Matthew,Gonzalez,75,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100,12,11,6,16,7,0.78,0.73,0.6,0.82027027,0.829186508,0.829186508,0.82027027,0.752650879,0.82027027,0.779755684,78,C
cxg21963,cynthia.guzman@univ.edu,1,Cynthia,Guzman,63,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100,7,10,15,14,6,0.64,0.74,0.66,0.740540541,0.751511905,0.751511905,0.740540541,0.733320601,0.740540541,0.727766924,73,C
jlh15029,john.harris@univ.edu,1,John,Harris,74,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100,12,6,14,12,9,0.91,0.9,0.95,0.862162162,0.859666667,0.862162162,0.862162162,0.777193787,0.862162162,0.881513514,89,B
cxh80084,colleen.hart@univ.edu,1,Colleen,Hart,48,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100,7,9,6,17,6,0.68,0.72,0.62,0.756756757,0.760472222,0.760472222,0.756756757,0.634329004,0.756756757,0.730215916,74,C
thh29195,taylor.hernandez@univ.edu,1,Taylor,Hernandez,54,80,52,80,53,80,67,100,56,70,77,90,33,50,57,70,52,60,46,60,92,100,83,100,98,100,9,5,12,14,11,0.92,0.83,0.98,0.739189189,0.74206746,0.74206746,0.739189189,0.746134454,0.746134454,0.79666732,80,B
edh14938,emily.houston@univ.edu,1,Emily,Houston,54,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100,11,5,9,17,8,1,0.78,0.87,0.758108108,0.766293651,0.766293651,0.758108108,0.72021645,0.758108108,0.792449893,80,B
bch39598,brett.hunt@univ.edu,1,Brett,Hunt,72,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100,12,7,11,16,4,0.85,0.72,0.89,0.816216216,0.817821429,0.817821429,0.816216216,0.707629234,0.816216216,0.819993436,82,B
dcj14616,daniel.jones@univ.edu,1,Daniel,Jones,61,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100,10,7,8,11,8,0.79,0.68,0.61,0.809459459,0.794777778,0.809459459,0.809459459,0.648199643,0.809459459,0.765621622,77,C
mxj54725,michele.jones@univ.edu,1,Michele,Jones,67,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100,6,6,6,12,7,1,0.82,0.63,0.862162162,0.855329365,0.862162162,0.862162162,0.534163484,0.862162162,0.830013514,84,B
txj12345,traci.joyce@univ.edu,1,Traci,Joyce,0,80,77,80,58,80,91,100,66,70,78,90,30,50,69,70,59,60,53,60,100,100,84,100,64,100,4,9,6,14,8,1,0.84,0.64,0.785135135,0.785940476,0.785940476,0.785135135,0.585398523,0.785135135,0.779916731,78,C
pmk49230,paige.king@univ.edu,1,Paige,King,61,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100,9,14,13,17,8,0.97,0.99,0.63,0.824324324,0.826734127,0.826734127,0.824324324,0.868787879,0.868787879,0.833330014,84,B
mxl67812,michelle.lee@univ.edu,1,Michelle,Lee,56,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100,10,10,13,16,9,0.91,0.76,0.77,0.774324324,0.765281746,0.774324324,0.774324324,0.834728801,0.834728801,0.79714837,80,B
msl77920,mark.lopez@univ.edu,1,Mark,Lopez,58,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100,9,7,15,15,4,0.94,0.87,0.78,0.75,0.746809524,0.75,0.75,0.699197861,0.75,0.776,78,C
nxm87406,nicole.mann@univ.edu,1,Nicole,Mann,73,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100,9,11,8,12,11,0.99,0.85,0.97,0.874324324,0.878992063,0.878992063,0.874324324,0.754985994,0.874324324,0.893894123,90,A
sgm04582,shawn.marshall@univ.edu,1,Shawn,Marshall,70,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100,6,11,9,15,8,0.69,0.68,0.62,0.767567568,0.762980159,0.767567568,0.767567568,0.699067991,0.767567568,0.732797297,74,C
jxm83777,jorge.miller@univ.edu,1,Jorge,Miller,69,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100,11,14,10,6,10,0.74,0.73,0.81,0.831081081,0.840968254,0.840968254,0.831081081,0.769073084,0.831081081,0.817211626,82,B
kam90876,kimberly.moore@univ.edu,1,Kimberly,Moore,79,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100,4,8,14,17,6,0.64,0.96,0.64,0.794594595,0.785980159,0.794594595,0.794594595,0.676709957,0.794594595,0.780216216,79,C
dxn21936,donna.nguyen@univ.edu,1,Donna,Nguyen,52,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100,4,9,12,14,7,0.7,0.87,0.64,0.768918919,0.768789683,0.768918919,0.768918919,0.647216705,0.768918919,0.756243243,76,C
tmo55387,tiffany.ortega@univ.edu,1,Tiffany,Ortega,64,80,56,80,56,80,63,100,58,70,79,90,30,50,65,70,51,60,51,60,70,100,82,100,62,100,12,14,8,15,7,0.7,0.82,0.62,0.774324324,0.776492063,0.776492063,0.774324324,0.810409982,0.810409982,0.76371982,77,C
txp55047,timothy.parker@univ.edu,1,Timothy,Parker,50,80,76,80,65,80,72,100,68,70,65,90,42,50,50,70,43,60,59,60,73,100,93,100,66,100,10,14,14,13,9,0.73,0.93,0.66,0.797297297,0.805543651,0.805543651,0.797297297,0.869910873,0.869910873,0.811690722,82,B
mjp68159,mark.patrick@univ.edu,1,Mark,Patrick,70,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100,4,8,11,10,10,0.92,0.65,0.8,0.813513514,0.804460317,0.813513514,0.813513514,0.627084288,0.813513514,0.800459459,81,B
dxp49123,douglas.payne@univ.edu,1,Douglas,Payne,48,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100,5,12,7,7,8,0.74,0.71,0.96,0.741891892,0.746285714,0.746285714,0.741891892,0.575902725,0.741891892,0.773081853,78,C
jmp63760,jonathan.pena@univ.edu,1,Jonathan,Pena,53,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100,5,10,8,13,9,0.74,0.79,0.84,0.759459459,0.756912698,0.759459459,0.759459459,0.649434683,0.759459459,0.773621622,78,C
ksp17362,kristin.petersen@univ.edu,1,Kristin,Petersen,49,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100,5,5,8,7,8,0.97,0.68,0.97,0.828378378,0.818869048,0.828378378,0.828378378,0.489236058,0.828378378,0.841864865,85,B
bdp78944,brooke.powers@univ.edu,1,Brooke,Powers,80,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100,8,10,10,17,6,0.77,0.87,0.9,0.797297297,0.802884921,0.802884921,0.797297297,0.718614719,0.797297297,0.820843157,83,B
rkr43763,rhonda.rice@univ.edu,1,Rhonda,Rice,77,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100,9,6,9,14,8,0.61,0.98,0.96,0.767567568,0.780420635,0.780420635,0.767567568,0.665874714,0.767567568,0.814938524,82,B
bms82804,beth.sanders@univ.edu,1,Beth,Sanders,59,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100,9,10,12,9,4,0.73,0.71,0.67,0.802702703,0.80106746,0.802702703,0.802702703,0.631466769,0.802702703,0.769891892,77,C
rxs30280,richard.saunders@univ.edu,1,Richard,Saunders,53,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100,12,12,8,15,10,0.65,0.93,0.64,0.710810811,0.708837302,0.710810811,0.710810811,0.836384008,0.836384008,0.756739527,76,C
bxs54690,billy.schwartz@univ.edu,1,Billy,Schwartz,56,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100,9,10,12,11,11,0.89,0.62,0.93,0.741891892,0.738571429,0.741891892,0.741891892,0.782268908,0.782268908,0.777437429,78,C
kxs29884,kerry.smith@univ.edu,1,Kerry,Smith,53,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100,5,5,13,16,4,0.62,0.95,0.84,0.783783784,0.797607143,0.797607143,0.783783784,0.589057805,0.783783784,0.806177992,81,B
mxs33416,matthew.smith@univ.edu,1,Matthew,Smith,75,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100,8,7,14,7,8,0.66,0.63,0.93,0.777027027,0.783821429,0.783821429,0.777027027,0.647807487,0.777027027,0.78213668,79,C
txt65366,thomas.terry@univ.edu,1,Thomas,Terry,72,80,60,80,51,80,96,100,51,70,87,90,31,50,43,70,41,60,50,60,83,100,74,100,99,100,9,8,14,13,8,0.83,0.74,0.99,0.786486486,0.769369048,0.786486486,0.786486486,0.749348103,0.786486486,0.814540541,82,B
sxt33634,sandra.thomas@univ.edu,1,Sandra,Thomas,65,80,66,80,67,80,68,100,69,70,65,90,39,50,64,70,41,60,38,60,88,100,62,100,96,100,4,8,10,14,9,0.88,0.62,0.96,0.786486486,0.787388889,0.787388889,0.786486486,0.64262796,0.786486486,0.800901502,81,B
jxu45537,james.underwood@univ.edu,1,James,Underwood,65,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100,9,9,13,8,5,0.77,0.76,0.84,0.828378378,0.822349206,0.828378378,0.828378378,0.6369315,0.828378378,0.820364865,83,B
sxv18182,sara.vasquez@univ.edu,1,Sara,Vasquez,63,80,65,80,67,80,98,100,70,70,65,90,32,50,55,70,40,60,38,60,64,100,73,100,75,100,5,6,7,8,5,0.64,0.73,0.75,0.801351351,0.786543651,0.801351351,0.801351351,0.44740769,0.801351351,0.778445946,78,C
jxw53347,joyce.walls@univ.edu,1,Joyce,Walls,59,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100,12,7,6,9,10,0.69,0.73,0.91,0.751351351,0.745170635,0.751351351,0.751351351,0.667700535,0.751351351,0.769945946,77,C
jxw98212,jill.walsh@univ.edu,1,Jill,Walsh,65,80,48,80,49,80,73,100,47,70,74,90,38,50,68,70,50,60,38,60,73,100,99,100,78,100,4,9,13,6,6,0.73,0.99,0.78,0.743243243,0.744674603,0.744674603,0.743243243,0.548250573,0.743243243,0.773342814,78,C
axw80146,angela.warren@univ.edu,1,Angela,Warren,54,80,62,80,59,80,77,100,59,70,85,90,44,50,55,70,58,60,48,60,70,100,84,100,78,100,10,5,14,10,8,0.7,0.84,0.78,0.812162162,0.817718254,0.817718254,0.812162162,0.687863509,0.812162162,0.80673595,81,B
tsw14969,tamara.warren@univ.edu,1,Tamara,Warren,74,80,53,80,48,80,92,100,57,70,58,90,44,50,54,70,56,60,52,60,77,100,80,100,99,100,11,7,14,16,10,0.77,0.8,0.99,0.794594595,0.801765873,0.801765873,0.794594595,0.840053476,0.840053476,0.839722392,84,B
txw75701,travis.washington@univ.edu,1,Travis,Washington,64,80,67,80,56,80,92,100,50,70,85,90,46,50,69,70,40,60,52,60,94,100,74,100,68,100,8,9,13,10,11,0.94,0.74,0.68,0.839189189,0.835527778,0.839189189,0.839189189,0.752885154,0.839189189,0.810432432,82,B
sxw76890,samuel.weber@univ.edu,1,Samuel,Weber,71,80,78,80,74,80,86,100,69,70,81,90,31,50,48,70,55,60,44,60,79,100,96,100,86,100,6,5,12,14,6,0.79,0.96,0.86,0.860810811,0.848892857,0.860810811,0.860810811,0.605225363,0.860810811,0.867067568,87,B
jty40106,joseph.young@univ.edu,1,Joseph,Young,51,80,69,80,60,80,68,100,67,70,63,90,49,50,42,70,55,60,49,60,72,100,68,100,96,100,10,11,14,12,8,0.72,0.68,0.96,0.774324324,0.790047619,0.790047619,0.774324324,0.797107207,0.797107207,0.80315121,81,B
